;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CT_MODULE;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_module_id;_unique_name;_name;_academic_year;_deptName;_staff1Name;_staff2Name;_tag1;_tag2;_tag3;_weekly_target;_total_target;_schedulable;_www;;;;;;;;;;;;;;;
1019;Metody analizy danych dośw.;Metody analizy danych dośw.;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
1020;Metody i algorytmy optymalizacji;Metody i algorytmy optymalizacji;;;;;;;;;;Y;;;;;;;;;;;;;;;;
1021;Metody matem. w fizyce I;Metody matem. w fizyce I;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
1022;Metody matem. w fizyce II;Metody matem. w fizyce II;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
1023;Metody matemat w fizyce;Metody matemat w fizyce;;;;;;;;;;Y;;;;;;;;;;;;;;;;
1024;Metody numer. i optym.;Metody numer. i optym.;;;;;;;;;;Y;;;;;;;;;;;;;;;;
1025;Metody numeryczne;Metody numeryczne;;;;;;;;;;Y;;;;;;;;;;;;;;;;
1026;Metody obliczeniowe optymaliz.;Metody obliczeniowe optymaliz.;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
1027;Metody optymalizacji linowej;Metody optymalizacji linowej;;;;;;;;;;Y;;;;;;;;;;;;;;;;
1028;Metody probabil. i statystyka;Metody probabil. i statystyka;;;;;;;;;;Y;;;;;;;;;;;;;;;;
1029;Metody sztucznej intelig. w ekonomii;Metody sztucznej intelig. w ekonomii;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
1030;Metody topologiczne w AM;Metody topologiczne w AM;;;;;;;;;;Y;;;;;;;;;;;;;;;;
1031;Metody zarządzania PP;Metody zarządzania PP;;;;;;;;;;Y;;;;;;;;;;;;;;;;
1032;Miernictwo światłowodowe;Miernictwo światłowodowe;;;;;;;;;;Y;;;;;;;;;;;;;;;;
1033;Mikro i nanotechnologie;Mikro i nanotechnologie;;;;;;;;;;Y;;;;;;;;;;;;;;;;
1034;Mikroekonomia;Mikroekonomia;;;;;;;;;;Y;FTIMS Log;;;;;;;;;;;;;;;
1035;Model zjawisk fizycznych;Model zjawisk fizycznych;;;;;;;;;;Y;;;;;;;;;;;;;;;;
1036;Model. i anim. na potrzeby GK - zamawiane;Model. i anim. na potrzeby GK - zamawiane;;;;;;;;;;Y;;;;;;;;;;;;;;;;
2196;Modell. and Optimiz. in Modern Enginee.;Modell. and Optimiz. in Modern Enginee.;;;;;;;;;;Y;;;;;;;;;;;;;;;;
1037;Modelowanie i analiza SGK;Modelowanie i analiza SGK;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
1038;Modelowanie i analiza syst. inf.;Modelowanie i analiza syst. inf.;;;;;;;;;;Y;FTIMS;;;;;;;;;;;;;;;
1039;Modelowanie i animacja komp;Modelowanie i animacja komp;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
1040;Modelowanie i WIF;Modelowanie i WIF;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
1041;Modelowanie rynków finansowych;Modelowanie rynków finansowych;;;;;;;;;;Y;;;;;;;;;;;;;;;;
1042;Modelowanie ryzyka kredytowego;Modelowanie ryzyka kredytowego;;;;;;;;;;Y;;;;;;;;;;;;;;;;
1043;Modelowanie w logistyce;Modelowanie w logistyce;;;;;;;;;;Y;;;;;;;;;;;;;;;;
1044;Modelowanie zjawisk fiz w PP;Modelowanie zjawisk fiz w PP;;;;;;;;;;Y;;;;;;;;;;;;;;;;
1045;Multimedia;Multimedia;;;;;;;;;;Y;;;;;;;;;;;;;;;;
1046;Multimedia Aplications;Multimedia Aplications;;;;;;;;;;Y;;;;;;;;;;;;;;;;
1047;Multimedialne bazy danych;Multimedialne bazy danych;;;;;;;;;;Y;;;;;;;;;;;;;;;;
1048;Network Technologies;Network Technologies;;;;;;;;;;Y;;;;;;;;;;;;;;;;
1798;Nierelacyjne bazy danych;Nierelacyjne bazy danych;;;;;;;;;;Y;;;;;;;;;;;;;;;;
1049;Niezawodne aplikacje rozproszone;Niezawodne aplikacje rozproszone;;;;;;;;;;Y;;;;;;;;;;;;;;;;
